time,gFx,gFy,gFz,gFTotal
3.993,-0.170,0.097,-1.064,1.082
4.005,-0.152,0.125,-0.984,1.003
4.015,-0.161,0.167,-0.950,0.977
4.025,-0.187,0.198,-0.921,0.960
4.035,-0.221,0.220,-0.894,0.947
4.045,-0.285,0.195,-0.943,1.004
4.055,-0.303,0.101,-1.028,1.076
4.065,-0.264,0.042,-1.050,1.083
4.075,-0.199,0.058,-1.067,1.087
4.085,-0.105,0.143,-1.057,1.072
4.095,-0.016,0.218,-1.004,1.028
4.105,0.034,0.261,-0.928,0.964
4.115,0.025,0.278,-0.870,0.914
4.125,-0.029,0.274,-0.838,0.882
4.135,-0.082,0.273,-0.818,0.866
4.145,-0.125,0.292,-0.816,0.875
4.155,-0.145,0.328,-0.807,0.883
4.165,-0.136,0.345,-0.793,0.876
4.175,-0.111,0.329,-0.804,0.875
4.185,-0.075,0.309,-0.823,0.882
4.195,-0.030,0.309,-0.868,0.922
4.205,0.023,0.324,-0.884,0.942
4.215,0.062,0.339,-0.882,0.947
4.225,0.048,0.340,-0.892,0.956
4.235,0.013,0.329,-0.907,0.965
4.245,-0.006,0.329,-0.920,0.977
4.255,-0.033,0.341,-0.931,0.992
4.265,-0.060,0.341,-0.939,1.001
4.275,-0.085,0.325,-0.950,1.007
4.285,-0.102,0.309,-0.972,1.025
4.295,-0.097,0.318,-0.985,1.040
4.305,-0.105,0.356,-0.973,1.042
4.315,-0.146,0.358,-0.927,1.004
4.325,-0.205,0.329,-0.894,0.974
4.335,-0.273,0.294,-0.889,0.975
4.345,-0.318,0.248,-0.876,0.964
4.355,-0.336,0.222,-0.865,0.954
4.365,-0.342,0.193,-0.881,0.965
4.375,-0.305,0.161,-0.921,0.984
4.385,-0.219,0.133,-0.975,1.008
4.390,-0.146,0.101,-1.047,1.062
4.400,-0.114,0.059,-1.115,1.122
4.409,-0.123,0.013,-1.162,1.168
4.420,-0.145,-0.022,-1.157,1.166
4.430,-0.191,-0.022,-1.163,1.179
4.440,-0.233,-0.033,-1.131,1.155
4.450,-0.223,-0.059,-1.048,1.073
4.460,-0.187,-0.081,-0.999,1.020
4.470,-0.151,-0.115,-0.988,1.006
4.480,-0.104,-0.166,-1.001,1.020
4.490,-0.053,-0.195,-1.044,1.063
4.499,-0.054,-0.214,-1.090,1.112
4.509,-0.069,-0.264,-1.078,1.112
4.520,-0.132,-0.290,-1.040,1.087
4.529,-0.234,-0.335,-0.991,1.072
4.539,-0.254,-0.384,-0.962,1.066
4.549,-0.237,-0.430,-0.989,1.104
4.559,-0.248,-0.448,-1.040,1.159
4.569,-0.228,-0.417,-1.094,1.193
4.579,-0.156,-0.356,-1.120,1.186
4.589,-0.139,-0.364,-1.085,1.153
4.599,-0.129,-0.427,-1.039,1.131
4.609,-0.109,-0.477,-0.972,1.088
4.619,-0.081,-0.483,-0.917,1.040
4.629,-0.043,-0.481,-0.850,0.977
4.639,-0.026,-0.464,-0.813,0.937
4.649,-0.081,-0.456,-0.880,0.994
4.659,-0.114,-0.508,-0.956,1.088
4.669,-0.128,-0.547,-0.958,1.111
4.679,-0.199,-0.546,-0.957,1.119
4.689,-0.290,-0.551,-0.972,1.154
4.699,-0.364,-0.555,-0.980,1.184
4.709,-0.396,-0.560,-0.994,1.208
4.719,-0.384,-0.599,-0.997,1.225
4.729,-0.368,-0.631,-1.033,1.265
