gFx,gFy,gFz
-0.017,-0.119,-1.07
0.004,-0.113,-1.078
0.051,-0.12,-1.061
0.107,-0.128,-1.029
0.153,-0.133,-0.996
0.187,-0.141,-0.969
0.206,-0.154,-0.951
0.217,-0.176,-0.934
0.222,-0.204,-0.917
0.225,-0.228,-0.89
0.226,-0.252,-0.872
0.209,-0.267,-0.89
0.176,-0.26,-0.948
0.141,-0.233,-1.037
0.126,-0.204,-1.151
0.129,-0.181,-1.259
0.145,-0.157,-1.328
0.167,-0.13,-1.344
0.205,-0.111,-1.316
0.242,-0.103,-1.256
0.27,-0.109,-1.191
0.296,-0.123,-1.14
0.311,-0.132,-1.107
0.309,-0.132,-1.079
0.291,-0.126,-1.04
0.271,-0.116,-0.979
0.256,-0.108,-0.907
0.246,-0.121,-0.849
0.245,-0.133,-0.816
0.25,-0.14,-0.805
0.257,-0.147,-0.817
0.256,-0.142,-0.848
0.245,-0.116,-0.89
0.234,-0.09,-0.947
0.227,-0.084,-1.03
0.202,-0.082,-1.126
0.168,-0.07,-1.204
0.143,-0.062,-1.257
0.142,-0.062,-1.287
0.167,-0.062,-1.29
0.199,-0.052,-1.257
0.224,-0.033,-1.193
0.238,-0.017,-1.114
0.24,-0.011,-1.019
0.243,-0.013,-0.914
0.242,-0.031,-0.809
0.231,-0.057,-0.713
0.217,-0.083,-0.634
0.192,-0.106,-0.571
0.162,-0.124,-0.523
0.135,-0.145,-0.489
0.109,-0.16,-0.463
0.086,-0.166,-0.441
0.061,-0.167,-0.442
0.037,-0.173,-0.483
0.008,-0.174,-0.55
-0.025,-0.159,-0.615
-0.052,-0.139,-0.676
-0.074,-0.126,-0.745
-0.097,-0.118,-0.83
-0.119,-0.113,-0.94
-0.139,-0.103,-1.078
-0.153,-0.078,-1.233
-0.158,-0.044,-1.362
-0.135,-0.01,-1.424
-0.086,0.017,-1.413
-0.021,0.026,-1.346
0.031,0.014,-1.243
0.061,-0.027,-1.138
0.074,-0.083,-1.064
0.058,-0.143,-1.046
0.019,-0.189,-1.084
-0.009,-0.211,-1.172
-0.014,-0.214,-1.28
-0.02,-0.166,-1.347
-0.007,-0.11,-1.351
0.027,-0.077,-1.305
0.065,-0.067,-1.229
0.086,-0.073,-1.144
0.094,-0.094,-1.067
0.087,-0.126,-1.002
0.07,-0.16,-0.96
0.041,-0.194,-0.961
0.003,-0.211,-0.99
-0.022,-0.208,-1.024
-0.029,-0.196,-1.048
-0.014,-0.184,-1.05
0.023,-0.176,-1.026
0.064,-0.168,-0.985
0.104,-0.164,-0.931
0.146,-0.164,-0.875
0.186,-0.165,-0.82
0.218,-0.171,-0.775
0.235,-0.181,-0.744
0.232,-0.189,-0.715
0.219,-0.191,-0.688
0.201,-0.2,-0.664
0.177,-0.219,-0.645
0.15,-0.245,-0.641
0.13,-0.271,-0.645
0.118,-0.294,-0.648
0.101,-0.31,-0.671
0.08,-0.309,-0.713
0.066,-0.288,-0.759
0.051,-0.254,-0.801
0.037,-0.224,-0.848
0.049,-0.205,-0.899
0.077,-0.194,-0.957
0.105,-0.178,-1.014
0.129,-0.157,-1.065
0.147,-0.131,-1.107
0.167,-0.108,-1.132
0.188,-0.096,-1.127
0.201,-0.117,-1.106
0.189,-0.154,-1.09
0.147,-0.177,-1.091
0.1,-0.194,-1.136
0.073,-0.203,-1.233
0.055,-0.191,-1.351
0.053,-0.164,-1.441
0.079,-0.138,-1.48
0.114,-0.122,-1.478
0.152,-0.112,-1.457
0.185,-0.1,-1.44
0.211,-0.084,-1.441
0.236,-0.065,-1.43
0.248,-0.044,-1.378
0.245,-0.03,-1.276
0.235,-0.039,-1.142
0.22,-0.064,-1.006
0.225,-0.103,-0.886
0.234,-0.164,-0.798
0.236,-0.217,-0.759
0.223,-0.24,-0.765
0.188,-0.214,-0.811
0.156,-0.153,-0.882
0.143,-0.103,-0.971
0.138,-0.07,-1.066
0.136,-0.039,-1.139
0.134,-0.009,-1.186
0.149,0.009,-1.214
0.174,0.016,-1.224
0.191,0.018,-1.216
0.199,0.019,-1.179
0.2,0.019,-1.111
0.198,0.014,-1.026
0.201,-0.001,-0.936
0.206,-0.02,-0.847
0.203,-0.038,-0.765
0.189,-0.05,-0.689
0.17,-0.058,-0.623
0.149,-0.067,-0.565
0.125,-0.078,-0.512
0.1,-0.089,-0.468
0.073,-0.097,-0.43
0.044,-0.108,-0.4
0.019,-0.118,-0.383
-0.004,-0.125,-0.384
-0.021,-0.121,-0.403
-0.025,-0.103,-0.432
-0.033,-0.074,-0.467
-0.043,-0.043,-0.512
-0.04,-0.022,-0.578
-0.029,-0.008,-0.668
-0.022,0.01,-0.778
-0.012,0.04,-0.896
-0.008,0.073,-1.012
-0.015,0.088,-1.112
-0.034,0.098,-1.18
-0.054,0.097,-1.206
