gFx,gFy,gFz
0.317,-0.253,-0.814
0.335,-0.221,-0.861
0.359,-0.209,-0.899
0.341,-0.232,-0.911
0.272,-0.302,-0.947
0.226,-0.321,-1.04
0.22,-0.27,-1.06
0.178,-0.258,-1.091
0.05,-0.305,-1.12
-0.037,-0.354,-1.093
-0.04,-0.361,-1.085
-0.018,-0.346,-1.124
0.039,-0.315,-1.204
0.061,-0.306,-1.279
0.051,-0.302,-1.314
0.032,-0.292,-1.297
0.002,-0.294,-1.266
-0.023,-0.295,-1.242
-0.018,-0.294,-1.242
0,-0.304,-1.265
-0.003,-0.317,-1.286
-0.006,-0.314,-1.265
-0.007,-0.315,-1.232
-0.01,-0.331,-1.195
-0.005,-0.34,-1.155
0.004,-0.345,-1.125
0.014,-0.352,-1.103
0.026,-0.355,-1.089
0.038,-0.339,-1.08
0.044,-0.324,-1.064
0.046,-0.319,-1.049
0.04,-0.326,-1.055
0.047,-0.331,-1.047
0.078,-0.319,-1.046
0.082,-0.307,-1.048
0.075,-0.309,-1.037
0.066,-0.318,-1.037
0.063,-0.333,-1.045
0.062,-0.338,-1.049
0.075,-0.348,-1.035
0.104,-0.365,-1.025
0.128,-0.368,-1.025
0.137,-0.366,-1.026
0.126,-0.36,-1.033
0.094,-0.336,-1.064
0.059,-0.326,-1.112
0.039,-0.328,-1.155
0.037,-0.317,-1.182
0.043,-0.301,-1.197
0.036,-0.289,-1.203
0.026,-0.27,-1.191
0.031,-0.276,-1.169
0.019,-0.285,-1.145
0.057,-0.248,-1.111
0.108,-0.229,-1.075
0.118,-0.229,-1.032
0.113,-0.233,-0.992
0.122,-0.249,-0.967
0.123,-0.229,-0.946
0.136,-0.231,-0.932
0.153,-0.224,-0.939
0.164,-0.209,-0.92
0.149,-0.225,-0.878
0.138,-0.222,-0.824
0.164,-0.189,-0.768
0.196,-0.165,-0.728
0.222,-0.168,-0.711
0.216,-0.202,-0.7
0.198,-0.242,-0.684
0.206,-0.255,-0.669
0.218,-0.228,-0.641
0.227,-0.196,-0.614
0.239,-0.176,-0.598
0.252,-0.158,-0.603
0.269,-0.151,-0.624
0.292,-0.155,-0.655
0.313,-0.163,-0.697
0.329,-0.177,-0.746
0.329,-0.202,-0.778
0.323,-0.221,-0.774
0.306,-0.224,-0.762
0.266,-0.226,-0.745
0.218,-0.232,-0.72
0.175,-0.217,-0.7
0.134,-0.191,-0.718
0.113,-0.174,-0.768
0.099,-0.181,-0.819
0.086,-0.21,-0.835
0.108,-0.184,-0.84
0.124,-0.143,-0.854
0.104,-0.151,-0.858
0.045,-0.195,-0.821
-0.03,-0.217,-0.857
-0.08,-0.244,-0.856
-0.106,-0.237,-0.87
-0.114,-0.192,-0.895
-0.116,-0.193,-0.939
-0.152,-0.229,-1.01
-0.191,-0.218,-1.086
-0.177,-0.186,-1.163
-0.17,-0.174,-1.214
-0.206,-0.206,-1.263
-0.215,-0.233,-1.327
-0.231,-0.231,-1.405
-0.276,-0.239,-1.434
-0.317,-0.247,-1.41
-0.349,-0.229,-1.385
-0.404,-0.226,-1.37
-0.457,-0.246,-1.34
-0.511,-0.285,-1.338
-0.554,-0.344,-1.354
-0.559,-0.401,-1.357
-0.539,-0.431,-1.362
-0.509,-0.438,-1.343
-0.478,-0.441,-1.27
-0.386,-0.385,-1.154
-0.345,-0.332,-1.058
-0.339,-0.351,-0.992
-0.35,-0.389,-1.003
-0.346,-0.416,-1.052
-0.343,-0.45,-1.073
